Line,,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969,1970,1970,1970,1970,1971,1971,1971,1971,1972,1972,1972,1972,1973,1973,1973,1973,1974,1974,1974,1974,1975,1975,1975,1975,1976,1976,1976,1976,1977,1977,1977,1977,1978,1978,1978,1978,1979,1979,1979,1979,1980,1980,1980,1980,1981,1981,1981,1981,1982,1982,1982,1982,1983,1983,1983,1983,1984,1984,1984,1984,1985,1985,1985,1985,1986,1986,1986,1986,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
1,        Gross value added of corporate business1,121,125.8,128.8,134.4,141.6,145,147.7,150,146.6,142.6,143.4,139.4,146.7,156.5,168.5,176.8,182.1,184.6,186.5,190,191.3,190.4,193.1,205.4,209.9,212.2,211.6,203,203.3,204.1,206.3,213.8,223.8,230.9,235.6,242,243.8,248.1,250.6,257.7,262.4,262.5,263.5,258.3,249.8,249.5,258.2,269.8,279.4,291.2,287.7,291.5,302.1,300.3,299.9,297.1,296.3,304.7,311.8,322.1,328,333.5,338.6,343.6,347.4,354.9,360.6,366.5,375.6,382.4,390.3,395.6,410.2,418.1,426.4,440.4,453,461.6,468.7,477,479.9,484.3,493.8,506.7,521.2,536.5,548.5,562.2,576.7,586.9,596.5,602.6,602.4,611.2,618.4,616.5,642.7,654.5,666,680.4,708,722.1,737.7,763.7,795.2,809.4,826.6,849.6,861.5,882.7,901.7,912.5,918.7,943.8,985.6,1014.1,1058.7,1074,1097,1119.5,1160.6,1216.8,1262.1,1290.6,1320.9,1399.6,1428.9,1478.2,1514.2,1546.4,1580.5,1616.4,1653.7,1655.6,1705,1795.2,1867.4,1911.8,1974.1,1987.3,1985.5,2017.1,2035.3,2036.4,2075.7,2140.7,2200.3,2273.2,2366.6,2417,2454.3,2501.1,2542.5,2580.2,2632.4,2650.8,2681.9,2687.7,2707.8,2749.8,2796.1,2865.3,2931.6,2987.6,3038.2,3111,3170,3250.8,3273.8,3303.3,3339.6,3363.9,3417,3479,3488.7,3484.6,3510.4,3540.5,3570.5,3597.3,3677.5,3724.1,3745.8,3822.1,3799.8,3893,3933.1,4049.5,4081.9,4177.1,4250.4,4330.9,4372.4,4429.1,4524.4,4571.1,4654.7,4740.2,4806.3,4879.7,4992.1,5077.8,5200.8,5302,5350,5431.7,5530.3,5585.7,5699.6,5749.1,5816.4,5943.1,6143.3,6186.7,6272.7,6262,6250.1,6240.2,6178.2,6141.9,6209.2,6281.8,6310.7,6392.5,6375.1,6459.3,6581.5,6683.9,6757.4,6898.5,7051,7133.2,7273.8,7399,7528.1,7740.8,7898.5,7972.5,8098.6,8147.6,8172,8250.1,8180.7,8194.3,8193,8184.3,8185.7,7872.1,7718.8,7762.8,7815.6,7972.2,8002.4,8126.6,8376.1,8442.9,8421.1,8581.2,8677.9,8811.9,9063.2,9155.2,9150.2,9327.4,9347.7,9411.1,9454.8,9614.2,9709.3,9977.3,10187.4,10312,10390.7,10489.7,10525.4,10552.3,10597.8,10612.1,10710.2,10817.4,10935.8,11054.2,11160.7,11380.1,11563.1,11730.3,11909.4,11982.6,12162.4,12245.1,12391.4,12520.4,12344.1,11136.4,12162.5,12736.9,13100.4,13585.9,13919.5,14368.3,14690.2,15063,15343.4,15333.5,15495.2,15609.3,15839.7,16135.6
2,Consumption of fixed capital,9,9.6,10.1,10.5,11,11.4,11.7,11.9,12.1,12.3,12.5,12.7,12.8,13,13.4,13.9,14.5,15,15.4,15.6,15.8,16,16.2,16.5,16.8,17.2,17.5,17.7,18,18.2,18.5,18.7,18.9,19.3,19.7,20.3,21.1,21.8,22.4,23.1,23.7,24.3,24.9,25.4,25.8,26.2,26.6,26.9,27.2,27.5,27.8,28,28.2,28.4,28.6,28.8,29.1,29.4,29.7,30,30.3,30.6,31,31.4,31.8,32.2,32.6,33.1,33.6,34.1,34.7,35.3,36,36.7,37.5,38.4,39.4,40.3,41.4,42.4,43.4,44.5,45.6,46.8,48,49.3,50.6,52,53.5,54.9,56.4,58,59.5,61.1,62.6,64.1,65.5,66.9,68.3,69.7,71,72.5,74.2,76,78,80.4,83.2,86.3,89.8,93.7,98,102.7,107.8,112.1,115.7,118.5,120.6,123.2,126.3,129.9,134,138.2,142.6,147,151.5,156.4,161.7,167.4,173.6,179.9,186.5,193.4,200.5,208,215.8,224,232.6,241,249,256.9,264.5,270.8,275.6,279.1,281.3,284,287.2,291,295.4,300.3,305.6,311.4,317.7,323.9,330,335.9,341.8,347.4,352.7,357.7,362.4,367.8,374,380.9,388.8,396.4,403.6,410.5,417.1,423.7,430.5,437.3,444.3,451.2,458.2,465.1,472.1,477.9,482.5,486,488.4,491.7,496,501.3,507.5,513.8,520.4,527.1,533.9,542.1,551.7,562.6,574.9,586,596,604.8,612.4,621,630.6,641.3,653,664.5,675.8,686.9,697.8,709,720.6,732.6,744.9,759.7,777,796.8,819.1,835.8,847,852.5,871.3,886.8,894.2,902.1,907.9,911.1,917.2,922.2,923.9,929,934.9,942.2,953.5,965.4,977.1,996,1014.8,1032.8,1049,1071.7,1090.3,1109.3,1128.4,1149.2,1168.1,1182.8,1195.9,1208.9,1228.9,1247.7,1269.3,1281.1,1276.3,1262.8,1255.9,1259.7,1261.1,1266.9,1271.3,1283.6,1299.8,1317.5,1333.2,1347.7,1369,1385.5,1401.3,1412.3,1423,1439,1454.2,1474.5,1495.9,1514.2,1534.7,1552.4,1569.5,1582.6,1595.3,1601.6,1606.1,1623.2,1635.1,1655.2,1675.8,1698,1721.3,1742.1,1760.1,1783.1,1805.1,1826,1857.4,1886.7,1907.5,1922.2,1945,1964.2,1975.9,1997.5,2010.8,2045.5,2093.6,2147.4,2202.3,2264.2,2325.4,2363.8,2422.8,2457.3,2485.3,2521.7
3,Net value added,112,116.3,118.7,123.9,130.7,133.6,136,138,134.5,130.3,130.9,126.7,133.9,143.5,155,162.9,167.5,169.6,171.1,174.3,175.5,174.4,176.9,188.9,193.1,195,194.2,185.3,185.3,185.8,187.8,195.2,204.8,211.6,215.9,221.6,222.8,226.3,228.2,234.6,238.6,238.2,238.7,232.9,224,223.2,231.6,242.9,252.2,263.7,259.9,263.5,274,272,271.4,268.3,267.2,275.3,282.1,292.1,297.7,302.9,307.6,312.3,315.7,322.7,328,333.4,342,348.3,355.6,360.3,374.2,381.4,388.9,402,413.7,421.2,427.4,434.6,436.5,439.8,448.1,459.9,473.2,487.2,497.9,510.2,523.2,531.9,540.1,544.6,542.9,550.1,555.9,552.5,577.2,587.6,597.7,610.7,637,649.6,663.5,687.7,717.2,729,743.5,763.3,771.7,789,803.7,809.8,811,831.7,869.9,895.5,938.1,950.8,970.7,989.6,1026.6,1078.6,1119.5,1143.6,1169.4,1243.1,1267.2,1310.7,1340.6,1366.5,1393.9,1423,1453.2,1447.7,1489.2,1571.2,1634.8,1670.8,1725,1730.4,1720.9,1746.4,1759.6,1757.2,1794.4,1856.7,1913.1,1982.2,2071.2,2116.8,2148.7,2189.7,2224.8,2256.4,2302.4,2314.9,2340.1,2340.3,2355.1,2392.1,2433.7,2497.4,2557.6,2606.7,2649.4,2714.6,2766.4,2840.3,2856.7,2879.5,2909.2,2926.6,2972.7,3027.8,3030.6,3019.4,3038.3,3062.7,3088,3111.3,3189.1,3232.3,3249.8,3320.9,3292.4,3379.2,3412.7,3522.5,3548,3634.9,3698.8,3768.3,3797.4,3843.1,3928.4,3966.3,4042.3,4119.2,4175.7,4238.3,4339,4413.3,4525,4615.1,4652.3,4722.7,4809.7,4853.1,4954.7,4989.4,5039.4,5146.2,5324.2,5350.9,5425.8,5409.5,5378.8,5353.3,5284,5239.8,5301.3,5370.7,5393.5,5470.3,5451.1,5530.3,5646.6,5741.7,5803.9,5933.1,6073.9,6137.2,6259,6366.2,6479.1,6669.1,6808.2,6863.2,6970.2,6998.4,7003.9,7067.2,6984.8,6985.3,6964.1,6936.6,6916.4,6591,6442.6,6499.9,6559.7,6712.5,6741.3,6859.7,7104.8,7159.3,7121.3,7263.7,7344.7,7464.3,7694.2,7769.7,7748.9,7915.1,7924.7,7972,8000.6,8139.7,8213.5,8463.1,8652.6,8759.6,8821.2,8907.1,8930.1,8950.8,8991.8,8988.8,9075.1,9162.2,9260,9356.2,9439.4,9638,9803,9947.3,10104.3,10156.6,10305,10358.4,10483.9,10598.2,10399,9172.2,10186.6,10739.4,11089.6,11540.5,11825.9,12220.8,12487.9,12798.8,13018,12969.7,13072.4,13152,13354.4,13613.9
4,    Compensation of employees,79.2,80.5,82.8,86,89,89.8,92.6,93,91.1,89,88.1,87,90.6,95.6,101.6,106.7,111.3,114.5,115.4,117,119.9,120.1,122.5,129.5,132.4,134.9,135,133.6,131.8,131.1,131.3,134.7,138.3,142.9,146.6,150.7,153.8,156.8,158.6,163.4,165.7,166.5,167.7,166.1,162,160.2,164.3,169.4,174.6,181.1,181.5,184,190.1,191.6,191.1,190,189.8,193.3,197.1,202,205.9,210.5,212.7,214.8,217.3,220.9,224.3,228.1,232,236.9,241.9,246,251.6,256.3,261.7,269.8,277.5,285.7,292.8,298.2,301.3,304.3,310.7,317.3,327.8,336.1,344.1,352.8,363.9,373.3,382.5,390.2,394.4,396.5,400.8,400.3,411.3,418.7,424.3,432.3,452.8,462.8,471.2,486,507.1,519.8,531.7,545.6,558.2,572,586.7,592.4,589.7,596.1,613.3,632.1,658.8,673.7,690.5,708.1,733.8,761.6,784,807.3,836.9,873.1,899,929.9,965.3,989.2,1018.2,1045.1,1072.9,1084.3,1104.4,1146.5,1186.2,1209.2,1236.2,1250.7,1259.3,1270.4,1282.6,1288.1,1305.3,1333.5,1365.1,1408.1,1452.1,1487.7,1518.7,1545.8,1573.2,1599.5,1627.4,1663.7,1690,1706.2,1732.1,1765.1,1795.6,1825.8,1860.1,1909.1,1939,1986.2,2022.4,2061.6,2083.2,2103.2,2127,2163.9,2195.8,2232,2256.4,2255.4,2239.1,2263.4,2289.7,2319.1,2370.5,2408.3,2432.1,2471,2459.9,2504.8,2527.6,2570.7,2581.4,2639.8,2666.7,2708.1,2741.6,2768.6,2804,2837.4,2877.5,2932.3,2979.4,3025.6,3090.4,3140,3198.8,3277.1,3354.5,3417.4,3479,3539,3608.6,3643.1,3694.9,3790.6,3945.7,3967.4,4051,4071.6,4057.7,4029,3990.3,3978.2,3941.3,3979.5,3982,3988.2,3947.1,4007.3,4066.4,4142.7,4116.9,4206,4303.7,4334.2,4345.8,4397.6,4483,4545.6,4620,4647.8,4678.8,4778.3,4859.9,4878.1,4890.5,4948.5,4963.8,4946.1,4944.5,4906.9,4598.9,4611.6,4592.7,4626.8,4576.7,4685,4747.4,4793.9,4885.6,4907.6,4975.6,4943.1,5081.9,5155.4,5164.3,5329.1,5292.9,5348,5359.5,5426.6,5555.8,5593.3,5668,5775.8,5857,5925.6,5985.7,6031,6032.2,6067.6,6130,6209.1,6299.4,6374.2,6467.4,6587.5,6673,6734.2,6834.8,6880.6,7047.3,7083.6,7103.9,7196.3,7260.2,6798.7,7142.6,7466.2,7544.2,7766.3,7972.4,8217.6,8326,8402.8,8615.5,8640.1,8830.5,8963.4,9087.1,9175.2
5,        Wages and salaries,75.2,76.5,78.6,81.7,84.8,85.6,88.4,88.7,86.8,84.6,83.6,82.5,85.5,90.2,95.8,100.5,104.6,107.6,108.3,109.7,112.5,112.7,115,121.7,124.4,126.7,126.8,125.3,123.2,122.6,122.6,125.9,129,133.2,136.6,140.5,143.1,145.8,147.3,151.8,153.5,154.1,155.1,153.4,149.6,147.8,151.8,156.4,161.1,166.5,166.5,168.5,174,175.2,174.8,173.8,173.6,176.7,180,184.4,187.5,191.5,193.3,195,197.2,200.3,203.4,206.8,210.3,214.7,219.2,222.9,228,232.1,236.8,243.7,249.8,256.8,262.8,267.6,270.8,273.5,279.2,284.8,294.2,301.7,308.9,316.9,325.8,334.4,342.6,349.4,353,354.5,358.5,357.9,367,373.8,378.7,385.3,401,409.6,417.3,431.1,446.6,458.8,470.1,482.8,492.9,505,517.3,520.4,514.2,517.9,532.5,549.1,570.9,583.9,597.9,612,630.7,654.1,673,693.1,714,746.3,768.9,795.7,822.8,842.8,867.3,889.7,911.7,919.9,936.5,974.2,1003.8,1023.8,1047.3,1058.9,1062,1070.1,1078.9,1081.4,1091.7,1115.4,1142.6,1180.9,1214.3,1245.5,1272.2,1295.1,1317.4,1338.4,1360.3,1389.5,1407.6,1418.2,1438,1465.3,1491.5,1517.3,1546.9,1590.5,1613.1,1653.8,1683.2,1714.2,1730.8,1743.6,1760.8,1790.8,1814.9,1847.5,1868.7,1866.1,1847.2,1865.6,1884.2,1904.2,1940.8,1968.5,1984.2,2017.8,2001.9,2040.4,2058.5,2095.4,2098.3,2151.4,2176,2215.6,2252.2,2278.6,2311.7,2341.9,2378.9,2428.4,2471.4,2514.3,2575.6,2620,2670.6,2737.2,2804.3,2856.4,2909.3,2962.7,3028.7,3058,3100.9,3182.1,3314.6,3326.8,3398.9,3414.8,3389,3364.9,3332.6,3322.6,3269.3,3301.1,3303.1,3308.2,3258.3,3308,3356.8,3419.8,3400.3,3473.9,3554.5,3579.7,3583.6,3626.3,3696.8,3748.4,3833.1,3856.2,3882,3964.5,4041.1,4056.2,4066.5,4114.8,4125.9,4111.2,4109.9,4078.6,3806.8,3817.3,3801.7,3829.9,3794,3883.7,3935.5,3974,4060.7,4078.9,4135.4,4108.4,4239.2,4300.5,4307.9,4445.4,4408.9,4453.8,4463,4519.4,4644.1,4676.4,4739.3,4829.6,4906.9,4964.1,5014.2,5051.9,5065.4,5095.2,5147.7,5214.3,5284.2,5346.9,5425.2,5526.1,5593.8,5644.3,5726.8,5762.2,5915.4,5944.8,5963.6,6046.2,6117.2,5734.6,6028.7,6315.7,6369.4,6575.2,6764.7,6988.2,7072.4,7137.7,7330.5,7346.8,7507.7,7624.5,7732.2,7806.8
6,        Supplements to wages and salaries,4,4.1,4.2,4.3,4.2,4.2,4.2,4.3,4.3,4.4,4.4,4.5,5.1,5.4,5.9,6.2,6.7,7,7.1,7.3,7.4,7.4,7.6,7.8,8,8.1,8.3,8.3,8.5,8.5,8.6,8.8,9.3,9.7,10,10.2,10.7,11,11.3,11.6,12.2,12.4,12.6,12.7,12.4,12.4,12.6,13,13.5,14.6,15,15.5,16.1,16.3,16.3,16.2,16.2,16.6,17,17.7,18.4,19,19.5,19.8,20.1,20.6,21,21.3,21.7,22.2,22.7,23.1,23.6,24.2,25,26.1,27.6,28.9,29.9,30.7,30.6,30.9,31.6,32.4,33.6,34.4,35.2,36,38.1,39,39.9,40.8,41.4,42,42.3,42.4,44.2,44.9,45.7,47,51.7,53.1,53.9,54.8,60.5,61,61.6,62.8,65.2,67,69.4,72,75.5,78.2,80.8,83,87.9,89.8,92.6,96.1,103.1,107.6,111.1,114.2,122.9,126.8,130.1,134.2,142.5,146.4,151,155.4,161.1,164.4,167.8,172.2,182.4,185.4,188.9,191.7,197.3,200.4,203.7,206.7,213.7,218.1,222.4,227.2,237.7,242.1,246.5,250.8,255.8,261.1,267.1,274.2,282.3,288.1,294.1,299.8,304.1,308.5,313.1,318.6,325.9,332.4,339.3,347.4,352.4,359.6,366.2,373.1,381,384.6,387.7,389.4,391.9,397.8,405.5,414.9,429.7,439.9,447.9,453.2,458,464.4,469.1,475.2,483.2,488.4,490.6,492.6,489.4,490,492.3,495.5,498.6,503.9,507.9,511.3,514.8,520,528.2,540,550.2,561,569.7,576.3,579.8,585.1,594.1,608.6,631.1,640.6,652.1,656.8,668.8,664,657.7,655.7,672,678.5,678.9,679.9,688.8,699.3,709.6,722.9,716.6,732.1,749.1,754.5,762.1,771.2,786.2,797.2,786.9,791.6,796.9,813.8,818.8,821.9,824,833.7,837.9,834.9,834.7,828.3,792,794.2,791,796.9,782.8,801.3,812,819.9,825,828.7,840.2,834.7,842.7,854.9,856.3,883.7,884,894.2,896.4,907.2,911.7,916.9,928.7,946.3,950.1,961.5,971.5,979.1,966.8,972.3,982.2,994.8,1015.2,1027.2,1042.2,1061.4,1079.2,1089.9,1108,1118.4,1131.8,1138.8,1140.3,1150.2,1143,1064.1,1114,1150.5,1174.8,1191.1,1207.7,1229.5,1253.5,1265.1,1285.1,1293.4,1322.8,1338.9,1354.9,1368.4
7,    Taxes on production and imports less subsidies,11.2,11.3,11.5,12.1,12.2,12.7,12.9,13.1,13.1,13.3,13.6,13.5,13.8,14.5,15.8,15.1,16.2,15.4,15.6,16.1,16.6,17.2,17.5,18,18.3,18.6,18.6,18.4,18,17.9,17.8,18.1,18.9,19.7,20.2,20.5,20.8,21.2,21.7,22.4,22.7,23,23.1,22.5,23,22.9,23.1,23.7,24.4,24.9,26,26.9,27.1,27.5,28.2,28.5,28.7,28.7,29,29.3,30,30.9,31.7,32.3,32.7,33,33.3,33.7,34.4,35.2,36,36.8,37.3,37.7,38.1,38.2,38.5,38.8,39,39.3,39.8,40.5,41.8,43.4,45.3,47.1,48.8,50.2,51.3,52.5,53.5,54.3,55.4,56.3,57.5,58.7,60.5,62.1,63.8,64.9,65.4,66.3,67.8,69.6,71.6,73.4,75.2,76.3,76.9,77.9,79,80.7,82.1,83.6,85.3,87,88.5,90.4,92.3,94.4,96.1,98.2,101.1,104.6,108.2,112.1,105.4,109.2,111.2,113.3,116.3,119.3,121.5,125,130.5,137.3,145.5,153.5,158,160.6,160.4,160,161,163.8,168.7,174.5,180.6,186,190.1,193.9,197.5,200.9,204,207.9,211,213.3,215.1,218,220.9,224.5,227.7,231.4,234.8,239.6,245.4,251.2,253.4,258,261.8,266.1,269.4,272.9,276,281.4,287.3,293.2,300.2,305.2,310.5,315.8,319.8,323.5,327.9,332.4,334.5,340.1,345.3,355.2,366.8,375.2,379.6,382.7,381.9,381.7,385.7,389.6,390.5,396,399.7,407.4,406.4,415.7,420.3,425.4,423.7,428.2,433.3,437.9,443.4,449.5,457.4,465.3,473,478.9,481.5,485.4,471.6,465.2,455.6,485.2,485.9,492.2,502.5,509.4,515.5,513.1,532.6,535.9,555.8,564.2,571.5,586,598.6,612.6,622.3,631.5,643.8,650.9,659.5,663.9,669.1,673.7,675.7,686.7,682.5,688.4,690.7,678.3,651.3,652,649.3,669.3,673.7,684.2,688.5,693.4,710.6,719.7,719,725.5,739.7,741,740.6,751.4,769.6,772.3,779.7,785.1,798.5,811,818.2,824.1,825.6,833.2,836.3,844.4,841.1,844,858.7,863.1,866.7,877.7,889.9,904.2,927,938.7,953.8,973.1,977.2,987.6,1003.1,1003.8,996,322.2,337.2,782.3,825.3,747.9,865.8,1007.1,1131.1,1171.1,1185,1184.6,1192.8,1185.9,1187.3,1202.6
8,    Net operating surplus,21.6,24.5,24.4,25.7,29.4,31.1,30.4,31.9,30.3,28,29.3,26.2,29.4,33.3,37.6,41.1,40,39.7,40.1,41.2,38.9,37,36.9,41.4,42.4,41.6,40.5,33.3,35.6,36.8,38.8,42.3,47.6,49.1,49.1,50.4,48.1,48.3,47.8,48.8,50.2,48.7,47.9,44.3,39,40.2,44.2,49.9,53.1,57.7,52.5,52.6,56.7,52.9,52.1,49.8,48.7,53.3,56.1,60.8,61.7,61.5,63.2,65.1,65.7,68.9,70.3,71.6,75.6,76.3,77.8,77.6,85.3,87.4,89.1,94,97.7,96.8,95.6,97.1,95.3,94.9,95.6,99.2,100.1,104.1,105,107.2,108,106.1,104.1,100.1,93.1,97.3,97.6,93.4,105.5,106.9,109.6,113.4,118.8,120.5,124.6,132.1,138.4,135.8,136.6,141.4,136.7,139,138,136.7,139.1,152,171.4,176.4,190.8,186.7,187.8,187,196.6,218.7,234.3,231.7,224.4,258,262.8,271.6,264.2,264,259.5,258.6,258.8,238.3,254.4,287.4,303.1,308.1,330.9,319.1,301.2,315.9,316.1,305.4,320.4,348.7,367.4,388.1,429,435.2,432.5,443,447.6,449,464.1,437.9,435,416.1,402.2,402.5,410.4,440.3,462.7,458,465,477.3,490.5,520.6,511.7,510.2,512.7,489.8,500.9,514.4,486.9,470.8,499,494.1,487.8,476.3,498.8,500.5,489.8,517.5,498,534.3,539.8,596.6,599.7,619.9,652.5,677.4,673.9,692.7,738.7,739.3,774.3,790.9,796.6,805.3,842.3,857.6,905.9,912.6,874.1,877.1,897.4,876.2,902.7,896.7,887.1,890.3,905.5,904.6,893.2,852.5,849.4,859.2,838.1,776.4,874.1,898.9,909,972.8,988.5,1009.9,1047.6,1063,1131.1,1162.9,1198.7,1217,1314.6,1356,1373.7,1492,1544.5,1564.5,1631.9,1556.2,1475,1515.5,1418.6,1350.1,1317.8,1302.1,1281.2,1005.9,1192.4,1236.4,1317.8,1416.5,1490.9,1490.6,1668.8,1672,1525.1,1636.4,1650.2,1795.7,1872.6,1873.2,1843.9,1834.7,1862.1,1851.8,1861.5,1928,1859.2,2058.8,2166.5,2159.7,2138.6,2148.3,2108.1,2075.5,2118.5,2077.2,2086.5,2090,2093.9,2104.3,2082.1,2146.3,2203,2274.3,2315.7,2302.8,2280.6,2287.3,2376.9,2398.1,2142.8,2051.3,2706.8,2491,2720.1,3026.2,2987.7,2996.1,3030.8,3224.9,3217.4,3144.9,3049.1,3002.7,3079.9,3236.2
